id,file_path,speech,speaker
rxr_a0591,train/rxr/arctic_a0591.wav,We are both children together.,rxr
rxr_a0403,train/rxr/arctic_a0403.wav,His newborn cunning gave him poise and control.,rxr
ljm_a0059,train/ljm/arctic_a0059.wav,His immaculate appearance was gone.,ljm
jmk_a0134,train/jmk/arctic_a0134.wav,He obeyed the pressure of her hand.,jmk
rms_b0067,train/rms/arctic_b0067.wav,Below him the shadow was broken into a pool of rippling starlight.,rms
gka_a0290,train/gka/arctic_a0290.wav,One by one the boys were captured.,gka
ksp_a0501,train/ksp/arctic_a0501.wav,"You're joking me, sir, the other managed to articulate.",ksp
ksp_a0058,train/ksp/arctic_a0058.wav,I came for information more out of curiosity than anything else.,ksp
awb_b0220,train/awb/arctic_b0220.wav,"Harry Bancroft, Dave lied.",awb
jmk_a0086,train/jmk/arctic_a0086.wav,Death had come with terrible suddenness.,jmk
clb_a0418,train/clb/arctic_a0418.wav,The Portuguese boy crawled nearer and nearer.,clb
rxr_a0039,train/rxr/arctic_a0039.wav,The ship should be in within a week or ten days.,rxr
fem_a0290,train/fem/arctic_a0290.wav,One by one the boys were captured.,fem
clb_b0470,train/clb/arctic_b0470.wav,"The very thing, Ernest agreed.",clb
ljm_a0390,train/ljm/arctic_a0390.wav,I'll go over tomorrow afternoon.,ljm
bdl_a0437,train/bdl/arctic_a0437.wav,By that answer my professional medical prestige stood or fell.,bdl
lnh_a0098,train/lnh/arctic_a0098.wav,Shall I carry you.,lnh
ahw_a0539,train/ahw/arctic_a0539.wav,I should like to engage just for one whole life in that. ,ahw
ksp_a0561,train/ksp/arctic_a0561.wav,"Bill lingered, contemplating his work with artistic appreciation.",ksp
rxr_c0030,train/rxr/arctic_c0030.wav,"You're as bad as Harper and Joe Ladue, said Joe Hines.",rxr
jmk_a0558,train/jmk/arctic_a0558.wav,"And the foundation stone of service, in his case, was obedience.",jmk
ksp_a0148,train/ksp/arctic_a0148.wav,Now these things had been struck dead within him.,ksp
gka_a0345,train/gka/arctic_a0345.wav,She was trying to pass the apron string around him.,gka
jmk_a0078,train/jmk/arctic_a0078.wav,"Then, and at supper, he tried to fathom her.",jmk
slp_a0388,train/slp/arctic_a0388.wav,It was my idea to a tee.,slp
slt_b0443,train/slt/arctic_b0443.wav,I did not think you would be so early.,slt
awb_b0464,train/awb/arctic_b0464.wav,"One guess will do, Ernest retorted.",awb
eey_a0203,train/eey/arctic_a0203.wav,They were following the shore of a lake.,eey
aew_b0328,train/aew/arctic_b0328.wav,"Change chairs, Daylight commanded.",aew
jmk_b0010,train/jmk/arctic_b0010.wav,"He turned the map to Gregson, pointing with his finger.",jmk
aew_b0062,train/aew/arctic_b0062.wav,Now it was missing from the wall.,aew
aew_b0377,train/aew/arctic_b0377.wav,A scarlet loincloth completed his costume.,aew
clb_a0143,train/clb/arctic_a0143.wav,"Ah, I had forgotten, he exclaimed.",clb
rms_a0126,train/rms/arctic_a0126.wav,Each day she became a more vital part of him.,rms
rms_a0077,train/rms/arctic_a0077.wav,"It is the fire, partly, she said.",rms
ahw_a0441,train/ahw/arctic_a0441.wav,Violent life and athletic sports had never appealed to me. ,ahw
axb_a0067,train/axb/arctic_a0067.wav,"Surely I will excuse you, she cried.",axb
aew_b0425,train/aew/arctic_b0425.wav,"There were orange-green, gold-green, and a copper-green.",aew
clb_a0429,train/clb/arctic_a0429.wav,"Quick was the disappointment in his face, yet smiling was the acquiescence.",clb
fem_a0007,train/fem/arctic_a0007.wav,And you always want to see it in the superlative degree.,fem
bdl_a0499,train/bdl/arctic_a0499.wav,And right there I saw and knew it all.,bdl
awb_a0193,train/awb/arctic_a0193.wav,For a time the exciting thrill of his adventure was gone.,awb
rms_b0342,train/rms/arctic_b0342.wav,Each improvement makes the value of everything else pump up.,rms
slt_a0420,train/slt/arctic_a0420.wav,When I came to I was waving my hat and murmuring ecstatically.,slt
fem_a0170,train/fem/arctic_a0170.wav,There was none of the joy of meeting in his face.,fem
rms_a0052,train/rms/arctic_a0052.wav,It was a curious coincidence.,rms
rms_b0055,train/rms/arctic_b0055.wav,"She was even more beautiful than when I saw her, before.",rms
slp_a0544,train/slp/arctic_a0544.wav,He may anticipate the day of his death.,slp
rms_b0107,train/rms/arctic_b0107.wav,"He was sure, now, of but few things.",rms
ljm_a0070,train/ljm/arctic_a0070.wav,He would first hunt up Gregson and begin his work there.,ljm
fem_a0312,train/fem/arctic_a0312.wav,It lived in perpetual apprehension of that quarter of the compass.,fem
axb_a0159,train/axb/arctic_a0159.wav,They look as though he had been drumming a piano all his life.,axb
aew_a0339,train/aew/arctic_a0339.wav,"They obeyed him, and went here and there at his commands.",aew
jmk_a0441,train/jmk/arctic_a0441.wav,Violent life and athletic sports had never appealed to me.,jmk
jmk_a0052,train/jmk/arctic_a0052.wav,It was a curious coincidence.,jmk
rms_b0410,train/rms/arctic_b0410.wav,Have you ever earned a dollar by your own labour.,rms
bdl_b0060,train/bdl/arctic_b0060.wav,He would keep his faith with Gregson for the promised day or two.,bdl
ljm_a0086,train/ljm/arctic_a0086.wav,Death had come with terrible suddenness.,ljm
jmk_a0210,train/jmk/arctic_a0210.wav,Its diameter was not more than two hundred yards.,jmk
aew_a0335,train/aew/arctic_a0335.wav,Red-Eye swung back and forth on the branch farther down.,aew
gka_a0523,train/gka/arctic_a0523.wav,They could not continue their method of producing surpluses.,gka
jmk_b0348,train/jmk/arctic_b0348.wav,Would you be satisfied with that one hundredth part of me.,jmk
eey_a0376,train/eey/arctic_a0376.wav,"Your price, my son, is just about thirty per week.",eey
slt_b0269,train/slt/arctic_b0269.wav,Why not like any railroad station or ferry depot.,slt
fem_a0442,train/fem/arctic_a0442.wav,You live on an income which your father earned.,fem
axb_a0021,train/axb/arctic_a0021.wav,It fairly clubbed me into recognizing it.,axb
eey_a0390,train/eey/arctic_a0390.wav,I'll go over tomorrow afternoon.,eey
rxr_a0057,train/rxr/arctic_a0057.wav,"I have no idea, replied Philip.",rxr
lnh_b0381,train/lnh/arctic_b0381.wav,And how would we ever find ourselves.,lnh
fem_a0054,train/fem/arctic_a0054.wav,There was nothing on the rock.,fem
eey_a0579,train/eey/arctic_a0579.wav,There was the Emma Louisa.,eey
axb_a0461,train/axb/arctic_a0461.wav,"Ah, we were very close together in that moment.",axb
fem_a0406,train/fem/arctic_a0406.wav,And that was the last of Francois and Perrault.,fem
aew_b0416,train/aew/arctic_b0416.wav,I arose obediently and went down the beach.,aew
slt_a0108,train/slt/arctic_a0108.wav,He waded into the edge of the water and began scrubbing himself.,slt
lnh_a0410,train/lnh/arctic_a0410.wav,So we have to fit the boat throughout with oil lamps as well.,lnh
